transaction_id,customer_id,purchase_date,product_category,product_model,brand,brand_origin,brand_tier,product_status,price_tzs,quantity,total_amount_tzs,quality_score,price_factor,quality_factor,brand_preference,cultural_compatibility,social_influence,status_factor,origin_factor,utility_score,purchase_channel,payment_method,age,gender,region,religion,ethnic_group,education,income_bracket,mobile_money,tech_savvy_score,brand_loyalty,price_sensitivity,quality_sensitivity,cultural_preference_strength,price_per_unit,is_weekend_purchase,purchase_month,purchase_year,customer_satisfaction,is_repeat_customer
TRX_000001,CUST_02385,2025-02-16,Mobile Phone,Infinix Note 11,Infinix,China,Mid-Range,New,306441,1,306441,7.4,0.448,0.555,0.705,0.9,0.708,1.0,1.0,0.739,Online,Mobile Money,40,Female,Dar es Salaam,Muslim,Others,Bachelor,"<200,000",Tigo Pesa,3,0.21,0.72,0.75,0.5,306441,1,2,2025,0.78,1
TRX_000002,CUST_01998,2025-01-11,Mobile Phone,Infinix Hot 11,Infinix,China,Mid-Range,New,563571,1,563571,7.0,0.0,0.42,0.86,0.9,0.819,1.0,1.0,0.462,Online,Cash,36,Female,Dodoma,Muslim,Others,Secondary,"200,000-500,000",Tigo Pesa,4,0.52,0.71,0.6,0.7,563571,1,1,2025,0.71,1
TRX_000003,CUST_04667,2025-02-15,Mobile Phone,Itel A36,Itel,China,Budget,New,151954,1,151954,4.9,0.24,0.294,0.54,0.9,0.902,1.0,1.0,0.355,Online,Cash,27,Female,Arusha,Muslim,Others,Secondary,"200,000-500,000",M-Pesa,3,0.08,0.75,0.6,0.5,151954,1,2,2025,0.66,1
TRX_000004,CUST_00995,2025-02-27,Mobile Phone,Nokia G10,Nokia,Finland,Mid-Range,New,400685,1,400685,6.5,0.399,0.39,0.63,0.9,0.503,1.0,1.0,0.539,Physical Store,Cash,15,Female,Tanga,Muslim,Others,Primary,"500,001-1,000,000",Halopesa,3,0.26,0.6,0.6,0.5,400685,0,2,2025,0.71,1
TRX_000005,CUST_02656,2024-12-31,Mobile Phone,Tecno Spark 9,Tecno,China,Mid-Range,New,405017,1,405017,6.7,0.22,0.496,0.76,0.9,0.799,1.0,1.0,0.598,Physical Store,Cash,40,Male,Mbeya,Muslim,Others,Secondary,"<200,000",Airtel Money,3,0.32,0.77,0.74,0.7,405017,0,12,2024,0.72,1
TRX_000006,CUST_03240,2025-02-20,Mobile Phone,Tecno Spark 9,Tecno,China,Mid-Range,Used,329625,1,329625,6.2,0.324,0.291,0.685,1.0,0.775,0.6,0.8,0.637,Physical Store,Cash,33,Female,Mbeya,Christian,Others,Secondary,"<200,000",M-Pesa,5,0.17,0.82,0.47,1.0,329625,0,2,2025,0.71,1
TRX_000007,CUST_00670,2024-12-01,Mobile Phone,Tecno Spark 9,Tecno,China,Mid-Range,New,511819,1,511819,7.5,0.104,0.622,0.655,1.0,0.624,1.0,1.0,0.528,Physical Store,Mobile Money,35,Male,Dar es Salaam,Christian,Sukuma,Primary,"200,000-500,000",Tigo Pesa,4,0.11,0.7,0.83,0.0,511819,1,12,2024,0.75,1
TRX_000008,CUST_01959,2025-02-17,Mobile Phone,Samsung Galaxy A13,Samsung,South Korea,Premium,Used,1224247,1,1224247,7.3,0.194,0.438,0.775,1.0,0.631,0.6,1.0,0.47,Physical Store,Mobile Money,30,Female,Mwanza,Christian,Others,Diploma,"200,000-500,000",Airtel Money,3,0.15,0.79,0.6,0.5,1224247,0,2,2025,0.59,1
TRX_000009,CUST_01731,2025-02-08,Mobile Phone,iPhone 13,Apple,USA,Premium,New,2232040,1,2232040,9.7,0.0,0.32,0.835,1.0,0.607,1.0,1.0,0.537,Online,Mobile Money,39,Male,Mbeya,Christian,Others,No formal,"200,000-500,000",None,5,0.27,0.79,0.33,0.3,2232040,1,2,2025,0.54,1
TRX_000010,CUST_03341,2025-02-21,Mobile Phone,Samsung Galaxy S22,Samsung,South Korea,Premium,New,1904536,1,1904536,8.0,0.0,0.704,0.835,1.0,1.124,1.0,1.0,0.683,Online,Cash,33,Male,Arusha,Christian,Nyamwezi,Primary,"200,000-500,000",Airtel Money,2,0.27,0.88,0.88,0.0,1904536,0,2,2025,0.5,1
TRX_000011,CUST_03461,2025-02-15,Mobile Phone,Infinix Note 11,Infinix,China,Mid-Range,New,430442,1,430442,6.2,0.15,0.403,0.755,0.9,0.964,1.0,1.0,0.578,Online,Cash,36,Female,Arusha,Muslim,Others,Secondary,"200,000-500,000",M-Pesa,3,0.31,0.79,0.65,0.3,430442,1,2,2025,0.69,1
TRX_000012,CUST_00785,2025-01-29,Mobile Phone,Tecno Camon 18,Tecno,China,Mid-Range,New,420004,1,420004,6.7,0.16,0.268,0.625,0.9,0.771,1.0,1.0,0.381,Physical Store,Cash,23,Female,Dodoma,Muslim,Gogo,No formal,"200,000-500,000",M-Pesa,3,0.05,0.8,0.4,0.5,420004,0,1,2025,0.72,1
TRX_000013,CUST_01949,2024-11-07,Mobile Phone,Huawei Y7,Huawei,China,Premium,New,1829211,1,1829211,8.7,0.0,0.322,0.63,0.9,0.573,1.0,1.0,0.478,Online,Cash,36,Male,Mbeya,Muslim,Nyamwezi,No formal,"200,000-500,000",M-Pesa,2,0.26,0.9,0.37,0.5,1829211,0,11,2024,0.56,1
TRX_000014,CUST_01705,2025-01-06,Mobile Phone,iPhone 12,Apple,USA,Premium,New,917100,1,917100,9.7,0.327,0.427,0.785,0.9,1.155,1.0,1.0,0.738,Physical Store,Mobile Money,22,Male,Tanga,Muslim,Haya,Secondary,"<200,000",Halopesa,1,0.17,0.88,0.44,0.7,917100,0,1,2025,0.8,0
TRX_000015,CUST_04619,2025-01-30,Mobile Phone,Tecno Spark 9,Tecno,China,Mid-Range,New,402799,1,402799,6.7,0.144,0.208,0.66,0.9,0.554,1.0,0.8,0.653,Physical Store,Cash,44,Male,Zanzibar,Muslim,Makonde,Diploma,"200,000-500,000",Tigo Pesa,1,0.12,0.85,0.31,1.0,402799,0,1,2025,0.72,1
TRX_000016,CUST_01986,2025-02-16,Mobile Phone,Nokia G10,Nokia,Finland,Mid-Range,New,595281,1,595281,6.2,0.0,0.446,0.67,1.0,0.981,1.0,1.0,0.58,Physical Store,Cash,17,Male,Arusha,Christian,Others,Primary,"<200,000",Tigo Pesa,5,0.34,0.89,0.72,0.3,595281,1,2,2025,0.65,0
TRX_000017,CUST_00939,2025-02-28,Mobile Phone,Xiaomi Redmi 9,Xiaomi,China,Mid-Range,New,495730,1,495730,7.9,0.0,0.3,0.655,0.9,0.948,1.0,1.0,0.449,Online,Cash,31,Female,Dodoma,Muslim,Sukuma,No formal,"200,000-500,000",M-Pesa,3,0.31,0.84,0.38,0.7,495730,0,2,2025,0.77,0
TRX_000018,CUST_02651,2025-02-28,Mobile Phone,Infinix Note 10,Infinix,China,Mid-Range,New,358317,1,358317,6.4,0.194,0.326,0.665,1.0,0.684,1.0,1.0,0.521,Physical Store,Mobile Money,16,Male,Mwanza,Christian,Others,No formal,"<200,000",Tigo Pesa,5,0.13,0.9,0.51,0.5,358317,0,2,2025,0.71,1
TRX_000019,CUST_02234,2025-02-14,Mobile Phone,Tecno Camon 19,Tecno,China,Mid-Range,New,342242,1,342242,6.2,0.247,0.223,0.72,1.0,0.571,1.0,1.0,0.522,Physical Store,Cash,28,Male,Dar es Salaam,Christian,Others,Bachelor,"<200,000",Airtel Money,3,0.24,0.88,0.36,0.0,342242,0,2,2025,0.7,1
TRX_000020,CUST_03516,2025-02-24,Mobile Phone,iPhone 11,Apple,USA,Premium,New,1216667,1,1216667,8.8,0.179,0.686,0.795,1.0,0.66,1.0,1.0,0.609,Online,Mobile Money,31,Female,Mbeya,Christian,Others,No formal,"<200,000",M-Pesa,4,0.19,0.81,0.78,0.3,1216667,0,2,2025,0.68,1
TRX_000021,CUST_03250,2025-02-19,Mobile Phone,Oppo A15,Oppo,China,Mid-Range,New,277387,1,277387,7.7,0.334,0.477,0.575,0.9,0.629,1.0,1.0,0.569,Physical Store,Cash,21,Male,Mwanza,Muslim,Sukuma,Diploma,"200,000-500,000",M-Pesa,4,0.15,0.96,0.62,0.3,277387,0,2,2025,0.81,1
TRX_000022,CUST_04231,2025-02-20,Mobile Phone,Tecno Pop 5,Tecno,China,Mid-Range,New,553017,1,553017,6.1,0.682,0.22,0.73,0.9,0.654,1.0,1.0,0.699,Physical Store,Mobile Money,43,Male,Arusha,Muslim,Chagga,No formal,"1,000,001-2,000,000",Tigo Pesa,2,0.26,0.23,0.36,0.5,553017,0,2,2025,0.66,1
TRX_000023,CUST_04251,2025-02-03,Mobile Phone,iPhone 11,Apple,USA,Premium,New,1820453,1,1820453,8.6,0.0,0.757,0.835,1.0,0.68,1.0,1.0,0.653,Physical Store,Mobile Money,25,Female,Dar es Salaam,Christian,Others,No formal,"200,000-500,000",M-Pesa,1,0.27,0.94,0.88,0.3,1820453,0,2,2025,0.55,1
TRX_000024,CUST_01223,2025-02-03,Mobile Phone,Huawei Y6,Huawei,China,Premium,New,628035,1,628035,8.4,0.691,0.378,0.735,1.0,0.936,1.0,1.0,0.702,Physical Store,Mobile Money,21,Male,Tanga,Christian,Chagga,Secondary,"500,001-1,000,000",Tigo Pesa,3,0.47,0.59,0.45,0.0,628035,0,2,2025,0.78,1
TRX_000025,CUST_04255,2025-02-22,Mobile Phone,iPhone 13,Apple,USA,Premium,New,1595696,1,1595696,8.3,0.0,0.714,0.895,0.9,0.954,1.0,1.0,0.47,Physical Store,Mobile Money,40,Female,Dar es Salaam,Muslim,Others,Primary,"<200,000",M-Pesa,3,0.39,0.93,0.86,0.3,1595696,1,2,2025,0.58,1
TRX_000026,CUST_00324,2025-02-15,Mobile Phone,Nokia C3,Nokia,Finland,Mid-Range,Used,390841,1,390841,5.5,0.199,0.396,0.635,1.0,0.874,0.6,1.0,0.626,Physical Store,Mobile Money,34,Male,Dar es Salaam,Christian,Others,Primary,"200,000-500,000",Tigo Pesa,3,0.27,0.82,0.72,0.3,390841,1,2,2025,0.65,1
TRX_000027,CUST_03388,2025-02-27,Mobile Phone,Huawei P40,Huawei,China,Premium,New,1305493,1,1305493,8.4,0.162,0.756,0.595,1.0,0.988,1.0,1.0,0.742,Physical Store,Card,26,Male,Dodoma,Christian,Others,Diploma,"500,001-1,000,000",Airtel Money,2,0.19,0.77,0.9,0.5,1305493,0,2,2025,0.64,1
